Date,Hospitalizations
4/23/2022,365
4/22/2022,348
4/21/2022,348
4/20/2022,353
4/19/2022,353
4/18/2022,365
4/17/2022,358
4/16/2022,365
4/15/2022,357
4/14/2022,349
4/13/2022,348
4/12/2022,344
4/11/2022,348
4/10/2022,344
4/9/2022,347
4/8/2022,360
4/7/2022,368
4/6/2022,366
4/5/2022,380
4/4/2022,384
4/3/2022,378
4/2/2022,402
4/1/2022,437
3/31/2022,440
3/30/2022,453
3/29/2022,467
3/28/2022,500
3/27/2022,517
3/26/2022,515
3/25/2022,541
3/24/2022,557
3/23/2022,584
3/22/2022,587
3/21/2022,616
3/20/2022,636
3/19/2022,662
3/18/2022,679
3/17/2022,722
3/16/2022,768
3/15/2022,798
3/14/2022,832
3/13/2022,847
3/12/2022,844
3/11/2022,909
3/10/2022,968
3/9/2022,"1,013"
3/8/2022,"1,094"
3/7/2022,"1,177"
3/6/2022,"1,194"
3/5/2022,"1,192"
3/4/2022,"1,289"
3/3/2022,"1,335"
3/2/2022,"1,404"
3/1/2022,"1,477"
2/28/2022,"1,550"
2/27/2022,"1,614"
2/26/2022,"1,676"
2/25/2022,"1,804"
2/24/2022,"1,897"
2/23/2022,"1,985"
2/22/2022,"2,128"
2/21/2022,"2,221"
2/20/2022,"2,312"
2/19/2022,"2,362"
2/18/2022,"2,497"
2/17/2022,"2,637"
2/16/2022,"2,719"
2/15/2022,"2,870"
2/14/2022,"3,041"
2/13/2022,"3,071"
2/12/2022,"3,172"
2/11/2022,"3,372"
2/10/2022,"3,561"
2/9/2022,"3,699"
2/8/2022,"3,827"
2/7/2022,"3,956"
2/6/2022,"4,020"
2/5/2022,"4,131"
2/4/2022,"4,337"
2/3/2022,"4,492"
2/2/2022,"4,599"
2/1/2022,"4,729"
1/31/2022,"4,837"
1/30/2022,"4,880"
1/29/2022,"4,929"
1/28/2022,"5,044"
1/27/2022,"5,089"
1/26/2022,"5,206"
1/25/2022,"5,108"
1/24/2022,"5,060"
1/23/2022,"4,905"
1/22/2022,"4,881"
1/21/2022,"4,875"
1/20/2022,"4,872"
1/19/2022,"4,643"
1/18/2022,"4,732"
1/17/2022,"4,630"
1/16/2022,"4,467"
1/15/2022,"4,489"
1/14/2022,"4,494"
1/13/2022,"4,400"
1/12/2022,"4,295"
1/11/2022,"4,106"
1/10/2022,"3,992"
1/9/2022,"3,843"
1/8/2022,"3,715"
1/7/2022,"3,664"
1/6/2022,"3,476"
1/5/2022,"3,299"
1/4/2022,"3,102"
1/3/2022,"2,987"
1/2/2022,"2,734"
1/1/2022,"2,590"
12/31/2021,"2,519"
12/30/2021,"2,400"
12/29/2021,"2,267"
12/28/2021,"2,115"
12/27/2021,"1,982"
12/26/2021,"1,833"
12/25/2021,"1,739"
12/24/2021,"1,752"
12/23/2021,"1,786"
12/22/2021,"1,755"
12/21/2021,"1,698"
12/20/2021,"1,686"
12/19/2021,"1,649"
12/18/2021,"1,632"
12/17/2021,"1,613"
12/16/2021,"1,619"
12/15/2021,"1,611"
12/14/2021,"1,565"
12/13/2021,"1,571"
12/12/2021,"1,549"
12/11/2021,"1,549"
12/10/2021,"1,553"
12/9/2021,"1,524"
12/8/2021,"1,485"
12/7/2021,"1,420"
12/6/2021,"1,377"
12/5/2021,"1,324"
12/4/2021,"1,264"
12/3/2021,"1,258"
12/2/2021,"1,220"
12/1/2021,"1,214"
11/30/2021,"1,160"
11/29/2021,"1,132"
11/28/2021,"1,104"
11/27/2021,"1,088"
11/26/2021,"1,075"
11/25/2021,"1,048"
11/24/2021,"1,085"
11/23/2021,"1,116"
11/22/2021,"1,115"
11/21/2021,"1,067"
11/20/2021,"1,041"
11/19/2021,"1,068"
11/18/2021,"1,055"
11/17/2021,"1,056"
11/16/2021,"1,049"
11/15/2021,"1,050"
11/14/2021,"1,045"
11/13/2021,"1,031"
11/12/2021,"1,076"
11/11/2021,"1,093"
11/10/2021,"1,083"
11/9/2021,"1,106"
11/8/2021,"1,109"
11/7/2021,"1,073"
11/6/2021,"1,063"
11/5/2021,"1,070"
11/4/2021,"1,140"
11/3/2021,"1,174"
11/2/2021,"1,189"
11/1/2021,"1,225"
10/31/2021,"1,227"
10/30/2021,"1,224"
10/29/2021,"1,313"
10/28/2021,"1,347"
10/27/2021,"1,399"
10/26/2021,"1,435"
10/25/2021,"1,473"
10/24/2021,"1,524"
10/23/2021,"1,532"
10/22/2021,"1,618"
10/21/2021,"1,706"
10/20/2021,"1,763"
10/19/2021,"1,823"
10/18/2021,"1,894"
10/17/2021,"1,941"
10/16/2021,"1,972"
10/15/2021,"2,036"
10/14/2021,"2,079"
10/13/2021,"2,213"
10/12/2021,"2,270"
10/11/2021,"2,306"
10/10/2021,"2,311"
10/9/2021,"2,320"
10/8/2021,"2,411"
10/7/2021,"2,447"
10/6/2021,"2,546"
10/5/2021,"2,590"
10/4/2021,"2,703"
10/3/2021,"2,702"
10/2/2021,"2,743"
10/1/2021,"2,806"
9/30/2021,"2,873"
9/29/2021,"2,943"
9/28/2021,"3,005"
9/27/2021,"3,109"
9/26/2021,"3,117"
9/25/2021,"3,122"
9/24/2021,"3,289"
9/23/2021,"3,365"
9/22/2021,"3,361"
9/21/2021,"3,402"
9/20/2021,"3,467"
9/19/2021,"3,452"
9/18/2021,"3,447"
9/17/2021,"3,537"
9/16/2021,"3,572"
9/15/2021,"3,617"
9/14/2021,"3,632"
9/13/2021,"3,688"
9/12/2021,"3,692"
9/11/2021,"3,746"
9/10/2021,"3,771"
9/9/2021,"3,787"
9/8/2021,"3,818"
9/7/2021,"3,808"
9/6/2021,"3,815"
9/5/2021,"3,753"
9/4/2021,"3,715"
9/3/2021,"3,813"
9/2/2021,"3,817"
9/1/2021,"3,813"
8/31/2021,"3,806"
8/30/2021,"3,714"
8/29/2021,"3,654"
8/28/2021,"3,617"
8/27/2021,"3,636"
8/26/2021,"3,669"
8/25/2021,"3,551"
8/24/2021,"3,508"
8/23/2021,"3,442"
8/22/2021,"3,386"
8/21/2021,"3,243"
8/20/2021,"3,181"
8/19/2021,"3,168"
8/18/2021,"3,108"
8/17/2021,"2,939"
8/16/2021,"2,836"
8/15/2021,"2,680"
8/14/2021,"2,710"
8/13/2021,"2,620"
8/12/2021,"2,526"
8/11/2021,"2,414"
8/10/2021,"2,306"
8/9/2021,"2,180"
8/8/2021,"2,015"
8/7/2021,"1,898"
8/6/2021,"1,822"
8/5/2021,"1,719"
8/4/2021,"1,655"
8/3/2021,"1,583"
8/2/2021,"1,467"
8/1/2021,"1,391"
7/31/2021,"1,314"
7/30/2021,"1,243"
7/29/2021,"1,169"
7/28/2021,"1,143"
7/27/2021,"1,090"
7/26/2021,"1,029"
7/25/2021,956
7/24/2021,910
7/23/2021,868
7/22/2021,817
7/21/2021,759
7/20/2021,698
7/19/2021,672
7/18/2021,624
7/17/2021,588
7/16/2021,571
7/15/2021,536
7/14/2021,494
7/13/2021,485
7/12/2021,467
7/11/2021,448
7/10/2021,420
7/9/2021,405
7/8/2021,418
7/7/2021,410
7/6/2021,417
7/5/2021,392
7/4/2021,389
7/3/2021,371
7/2/2021,379
7/1/2021,391
6/30/2021,396
6/29/2021,394
6/28/2021,384
6/27/2021,375
6/26/2021,374
6/25/2021,399
6/24/2021,428
6/23/2021,436
6/22/2021,443
6/21/2021,463
6/20/2021,466
6/19/2021,467
6/18/2021,473
6/17/2021,477
6/16/2021,486
6/15/2021,497
6/14/2021,510
6/13/2021,485
6/12/2021,500
6/11/2021,526
6/10/2021,532
6/9/2021,547
6/8/2021,553
6/7/2021,566
6/6/2021,550
6/5/2021,561
6/4/2021,592
6/3/2021,615
6/2/2021,615
6/1/2021,609
5/31/2021,606
5/30/2021,658
5/29/2021,657
5/28/2021,688
5/27/2021,698
5/26/2021,683
5/25/2021,697
5/24/2021,703
5/23/2021,690
5/22/2021,690
5/21/2021,724
5/20/2021,769
5/19/2021,797
5/18/2021,822
5/17/2021,820
5/16/2021,822
5/15/2021,823
5/14/2021,885
5/13/2021,926
5/12/2021,925
5/11/2021,933
5/10/2021,968
5/9/2021,958
5/8/2021,960
5/7/2021,"1,000"
5/6/2021,"1,008"
5/5/2021,"1,034"
5/4/2021,"1,003"
5/3/2021,"1,052"
5/2/2021,"1,033"
5/1/2021,"1,020"
4/30/2021,"1,066"
4/29/2021,"1,101"
4/28/2021,"1,137"
4/27/2021,"1,115"
4/26/2021,"1,103"
4/25/2021,"1,093"
4/24/2021,"1,114"
4/23/2021,"1,136"
4/22/2021,"1,146"
4/21/2021,"1,165"
4/20/2021,"1,168"
