Date,Positive,Deaths
4/16/2022,733,0
4/15/2022,892,1
4/14/2022,1286,0
4/13/2022,1427,0
4/12/2022,1224,1
4/11/2022,1254,3
4/10/2022,462,2
4/9/2022,550,1
4/8/2022,904,3
4/7/2022,847,4
4/6/2022,827,2
4/5/2022,724,2
4/4/2022,722,2
4/3/2022,276,2
4/2/2022,281,2
4/1/2022,431,2
3/31/2022,534,4
3/30/2022,541,4
3/29/2022,546,5
3/28/2022,519,2
3/27/2022,236,7
3/26/2022,242,3
3/25/2022,371,2
3/24/2022,424,6
3/23/2022,537,5
3/22/2022,465,5
3/21/2022,575,10
3/20/2022,213,4
3/19/2022,218,8
3/18/2022,380,5
3/17/2022,489,10
3/16/2022,502,11
3/15/2022,488,10
3/14/2022,638,9
3/13/2022,244,11
3/12/2022,295,8
3/11/2022,489,8
3/10/2022,547,15
3/9/2022,665,16
3/8/2022,683,21
3/7/2022,924,26
3/6/2022,368,18
3/5/2022,413,17
3/4/2022,755,17
3/3/2022,1000,20
3/2/2022,1090,24
3/1/2022,1142,26
2/28/2022,1599,12
2/27/2022,592,19
2/26/2022,722,30
2/25/2022,1431,26
2/24/2022,1646,28
2/23/2022,1970,29
2/22/2022,2372,33
2/21/2022,2990,34
2/20/2022,1186,29
2/19/2022,1425,47
2/18/2022,2653,40
2/17/2022,3082,35
2/16/2022,3672,43
2/15/2022,3851,44
2/14/2022,4942,42
2/13/2022,1918,58
2/12/2022,2349,60
2/11/2022,4507,58
2/10/2022,5395,69
2/9/2022,6138,50
2/8/2022,7021,74
2/7/2022,9144,76
2/6/2022,3357,73
2/5/2022,4078,63
2/4/2022,8254,99
2/3/2022,9368,82
2/2/2022,10788,61
2/1/2022,12234,53
1/31/2022,16686,58
1/30/2022,5305,58
1/29/2022,5070,81
1/28/2022,14066,88
1/27/2022,16315,83
1/26/2022,19664,75
1/25/2022,23497,92
1/24/2022,32513,81
1/23/2022,9371,70
1/22/2022,6552,59
1/21/2022,16019,61
1/20/2022,32562,84
1/19/2022,38960,62
1/18/2022,41357,75
1/17/2022,20471,47
