Plant,County,Date,Population,Particles
Cary 1,Wake,4/19/2022,"84,189","4,928,211"
Cary 1,Wake,4/14/2022,"84,189","2,263,004"
Cary 1,Wake,4/12/2022,"84,189","1,412,676"
Cary 1,Wake,4/7/2022,"84,189","2,272,299"
Cary 1,Wake,4/5/2022,"84,189","1,654,954"
Cary 1,Wake,3/31/2022,"84,189","3,685,025"
Cary 1,Wake,3/29/2022,"84,189","1,393,582"
Cary 1,Wake,3/24/2022,"84,189","3,470,924"
Cary 1,Wake,3/22/2022,"84,189","1,126,752"
Cary 1,Wake,3/17/2022,"84,189","1,466,230"
Cary 1,Wake,3/15/2022,"84,189","2,456,775"
Cary 1,Wake,3/10/2022,"84,189","3,871,725"
Cary 1,Wake,3/8/2022,"84,189","3,243,508"
Cary 1,Wake,3/3/2022,"84,189","1,140,269"
Cary 1,Wake,3/1/2022,"84,189","972,583"
Cary 1,Wake,2/24/2022,"84,189","2,319,525"
Cary 1,Wake,2/22/2022,"84,189","1,690,721"
Cary 1,Wake,2/17/2022,"84,189","5,978,804"
Cary 1,Wake,2/15/2022,"84,189","2,931,973"
Cary 1,Wake,2/10/2022,"84,189","7,077,476"
Cary 1,Wake,2/8/2022,"84,189","7,401,748"
Cary 1,Wake,2/3/2022,"84,189","9,298,417"
Cary 1,Wake,2/1/2022,"84,189","7,471,092"
Cary 1,Wake,1/27/2022,"84,189","16,663,357"
Cary 1,Wake,1/25/2022,"84,189","31,122,579"
Cary 1,Wake,1/21/2022,"84,189","22,147,659"
Cary 1,Wake,1/19/2022,"84,189","23,625,971"
Cary 1,Wake,1/13/2022,"84,189","59,063,627"
Cary 1,Wake,1/11/2022,"84,189","42,914,133"
Cary 1,Wake,1/6/2022,"84,189","78,498,993"
Cary 1,Wake,1/4/2022,"84,189","123,482,459"
Cary 1,Wake,12/30/2021,"84,189","30,391,337"
Cary 1,Wake,12/29/2021,"84,189","29,539,844"
Cary 1,Wake,12/21/2021,"84,189","7,644,989"
Cary 1,Wake,12/16/2021,"84,189","5,444,612"
Cary 1,Wake,12/9/2021,"84,189","3,166,686"
Cary 1,Wake,12/7/2021,"84,189","5,707,407"
Cary 1,Wake,12/2/2021,"84,189","2,471,590"
Cary 1,Wake,11/30/2021,"84,189","6,276,183"
Cary 1,Wake,11/23/2021,"84,189","2,483,500"
Cary 1,Wake,11/18/2021,"84,189","1,078,436"
Cary 1,Wake,11/16/2021,"84,189","1,216,465"
Cary 2,Wake,4/19/2022,"74,331","8,256,712"
Cary 2,Wake,4/14/2022,"74,331","8,080,711"
Cary 2,Wake,4/12/2022,"74,331","8,383,722"
Cary 2,Wake,4/7/2022,"74,331","9,064,776"
Cary 2,Wake,4/5/2022,"74,331","3,360,454"
Cary 2,Wake,3/31/2022,"74,331","1,279,765"
Cary 2,Wake,3/29/2022,"74,331","2,303,691"
Cary 2,Wake,3/24/2022,"74,331","1,377,241"
Cary 2,Wake,3/22/2022,"74,331","2,837,925"
Cary 2,Wake,3/17/2022,"74,331","966,972"
Cary 2,Wake,3/15/2022,"74,331","772,764"
Cary 2,Wake,3/10/2022,"74,331","2,043,816"
Cary 2,Wake,3/8/2022,"74,331","3,110,765"
Cary 2,Wake,3/3/2022,"74,331","3,011,845"
Cary 2,Wake,3/1/2022,"74,331","6,283,856"
Cary 2,Wake,2/24/2022,"74,331","4,016,901"
Cary 2,Wake,2/22/2022,"74,331","2,768,290"
Cary 2,Wake,2/17/2022,"74,331","7,164,905"
Cary 2,Wake,2/10/2022,"74,331","6,776,605"
Cary 2,Wake,2/8/2022,"74,331","24,788,259"
Cary 2,Wake,2/3/2022,"74,331","20,902,924"
Cary 2,Wake,2/1/2022,"74,331","17,967,753"
Cary 2,Wake,1/27/2022,"74,331","14,612,581"
Cary 2,Wake,1/25/2022,"74,331","22,173,680"
Cary 2,Wake,1/21/2022,"74,331","36,837,721"
Cary 2,Wake,1/19/2022,"74,331","37,809,641"
Cary 2,Wake,1/13/2022,"74,331","68,744,021"
Cary 2,Wake,1/11/2022,"74,331","41,866,391"
